feature,importance
flavanoids,0.22995645297484874
color_intensity,0.14639503700449463
od280/od315_of_diluted_wines,0.12588559192311924
alcohol,0.1133870896132637
proline,0.1036728036026045
hue,0.07697831762376328
magnesium,0.04277466285744151
total_phenols,0.03775157203432396
alcalinity_of_ash,0.03255360561398046
malic_acid,0.031350650347621085
ash,0.022180517646307418
nonflavanoid_phenols,0.02041613183561831
proanthocyanins,0.016697566922613184
